"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-01","0.00","P,,0,0800",,,"34",",,0","28",",,0","30",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-02","0.04",",,0,0800",,,"36",",,0","28",",,0","28",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-03","0.84",",,0,0800",,,"30",",,0","26",",,0","27",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-04","0.00","P,,0,0800",,,"29",",,0","19",",,0","22",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-05","0.00","P,,0,0800",,,"30",",,0","16",",,0","28",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-06","0.00","P,,0,0800",,,"35",",,0","24",",,0","27",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-07","0.02",",,0,0800",,,"44",",,0","26",",,0","38",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-08","0.05",",,0,0800",,,"38",",,0","24",",,0","24",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-09","0.01",",,0,0800",,,"31",",,0","24",",,0","30",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-10","0.09",",,0,0800",,,"33",",,0","29",",,0","32",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-11","0.18",",,0,0800",,,"39",",,0","29",",,0","29",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-12","0.04",",,0,0800",,,"33",",,0","27",",,0","31",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-13","0.04",",,0,0800",,,"34",",,0","31",",,0","33",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-14","0.00","P,,0,0800",,,"39",",,0","26",",,0","38",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-15","0.06",",,0,0800",,,"51",",,0","38",",,0","44",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-16","0.03",",,0,0800",,,"44",",,0","23",",,0","23",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-17","0.04",",,0,0800",,,"25",",,0","13",",,0","14",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-18","0.00","P,,0,0800",,,"34",",,0","14",",,0","33",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-19","0.00","T,,0,0800",,,"36",",,0","28",",,0","28",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-20","0.35",",,0,0800",,,"29",",,0","19",",,0","19",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-21","0.02",",,0,0800",,,"19",",I,0","27",",I,0","24",",I,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-22","0.01",",,0,0800",,,"29",",,0","17",",,0","23",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-23","0.35",",,0,0800",,,"27",",,0","22",",,0","33",",I,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-24","0.08",",,0,0800",,,"24",",,0","2",",,0","5",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-25","0.00","P,,0,0800",,,"11",",,0","4",",,0","11",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-26","0.00","P,,0,0800",,,"21",",,0","5",",,0","11",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-27","0.00","T,,0,0800",,,"19",",,0","7",",,0","13",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-28","0.00","P,,0,0800",,,"26",",,0","8",",,0","14",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-29","0.01",",,0,0800",,,"28",",,0","14",",,0","26",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-01-30","0.01",",,0,0800",,,"31",",,0","14",",,0","29",",,0,0800"
