STATION,NAME,DATE,DAPR,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",1/01/1995,,,,0.38,0,0,38,28,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2/01/1995,,,,0.09,0.7,0,44,26,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",3/01/1995,,,,0.01,0.6,1,27,17,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",4/01/1995,,,,0,0,1,27,15,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",5/01/1995,,,,0.03,1.2,2,18,8,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",6/01/1995,,,,0,0,2,21,8,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",7/01/1995,,,,0.08,1.2,2,30,14,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",8/01/1995,,,,0.03,0.5,2,30,12,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",9/01/1995,,,,0,0,2,33,20,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",10/01/1995,,,,0,0,2,32,3,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",11/01/1995,,,,0,0,2,23,4,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",12/01/1995,,,,0.14,0,0,39,23,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/01/1995,,,,0,0,0,51,39,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/01/1995,,,,0,0,0,63,47,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/01/1995,,,,0,0,0,64,52,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/01/1995,,,,0.29,0,0,62,54,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/01/1995,,,,0.09,0,0,56,33,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/01/1995,,,,0,0,0,35,31,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/01/1995,,,,0,0,0,44,35,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/01/1995,,,,0,0,0,48,39,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/01/1995,,,,0.66,0,0,50,35,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/01/1995,,,,0.15,0.3,0,37,26,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/01/1995,,,,0.1,1.5,2,30,14,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",24/01/1995,,,,0.18,1,3,31,19,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",25/01/1995,,,,0.25,2.5,5,30,28,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",26/01/1995,,,,0.18,5,7,29,22,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",27/01/1995,,,,0.07,1.7,8,28,20,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",28/01/1995,,,,0.01,0.6,7,25,-8,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",29/01/1995,,,,0,0,,19,-12,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",30/01/1995,,,,0,0,,25,-8,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",31/01/1995,,,,0,0,,30,4,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",1/02/1995,,,,0,0,4,39,25,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2/02/1995,,,,0.02,0.2,4,37,17,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",3/02/1995,,,,0,0,3,21,-4,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",4/02/1995,,,,0.06,1.7,4,27,-3,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",5/02/1995,,,,0.31,5.3,6,25,4,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",6/02/1995,,,,0,0,4,4,-2,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",7/02/1995,,,,0,0,4,7,0,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",8/02/1995,,,,0,0,4,19,-4,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",9/02/1995,,,,0,0,4,20,-1,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",10/02/1995,,,,0,0,4,26,10,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",11/02/1995,,,,0,0,4,36,23,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",12/02/1995,,,,0,0,4,31,-5,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/02/1995,,,,0,0,3,14,-6,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/02/1995,,,,0,0.3,4,21,7,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/02/1995,,,,0,0,4,25,-5,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/02/1995,,,,0,0,4,38,19,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/02/1995,,,,0,0,3,36,10,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/02/1995,,,,0,0,3,38,13,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/02/1995,,,,0,0,1,45,20,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/02/1995,,,,0,0,1,49,24,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/02/1995,,,,0.12,1,2,50,28,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/02/1995,,,,0.08,1,3,32,16,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/02/1995,,,,0,0,0,32,16,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",24/02/1995,,,,0.07,0,0,41,29,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",25/02/1995,,,,0.07,,0,29,17,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",26/02/1995,,,,0.02,1.5,1,28,7,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",27/02/1995,,,,0.04,0,0,25,8,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",28/02/1995,,,,1.03,0,0,35,24,
