STATION,NAME,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",1/01/2006,0.05,",,0,0700",1.2,",,0,",3,",,0,",33,",,0",25,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2/01/2006,0,",,0,0700",0,",,0,",2,",,0,",35,",,0",31,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",3/01/2006,0.44,",,0,0700",0,"T,,0,",0,"T,,0,",38,",,0",32,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",4/01/2006,0.02,",,0,0700",0,",,0,",0,",,0,",38,",,0",28,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",5/01/2006,0.07,",,0,0700",0,",,0,",0,",,0,",38,",,0",33,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",6/01/2006,0.03,",,0,0700",0.5,",,0,",0,"T,,0,",39,",,0",26,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",7/01/2006,0.09,",,0,0700",1.3,",,0,",2,",,0,",27,",,0",12,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",8/01/2006,0,",,0,0700",0,",,0,",2,",,0,",29,",,0",17,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",9/01/2006,0,",,0,0700",0,",,0,",1,",,0,",39,",,0",29,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",10/01/2006,0,",,0,0700",0,",,0,",0,",,0,",46,",,0",33,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",11/01/2006,0,",,0,0700",0,",,0,",0,",,0,",42,",,0",32,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",12/01/2006,0.06,",,0,0700",0,",,0,",0,",,0,",50,",,0",34,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/01/2006,0,",,0,0700",0,",,0,",0,",,0,",52,",,0",35,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/01/2006,0.47,",,0,0700",0,",,0,",0,",,0,",56,",,0",42,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/01/2006,0.08,",,0,0700",0.4,",,0,",0,"T,,0,",45,",,0",12,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/01/2006,0.03,",,0,0700",0.3,",,0,",1,",,0,",13,",,0",5,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/01/2006,0,",,0,0700",0,",,0,",1,",,0,",20,",,0",5,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/01/2006,0.79,",,0,0700",0,",,0,",0,",,0,",48,",,0",13,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/01/2006,0.09,",,0,0700",0,",,0,",0,",,0,",49,",,0",28,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/01/2006,0,",,0,0700",0,",,0,",0,",,0,",44,",,0",28,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/01/2006,0,",,0,0700",0,",,0,",0,",,0,",54,",,0",43,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/01/2006,0.01,",,0,0700",0,",,0,",0,"T,,0,",55,",,0",20,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/01/2006,0.06,",,0,0700",0.1,",,0,",0,"T,,0,",35,",,0",22,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",24/01/2006,0.06,",,0,0700",0.1,",,0,",0,"T,,0,",36,",,0",17,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",25/01/2006,0.11,",,0,0700",3.4,",,0,",4,",,0,",37,",,0",21,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",26/01/2006,0.1,",,0,0700",2.3,",,0,",5,",,0,",33,",,0",16,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",27/01/2006,0,"T,,0,0700",0,"T,,0,",4,",,0,",20,",,0",-1,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",28/01/2006,0,",,0,0700",0,",,0,",3,",,0,",40,",,0",1,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",29/01/2006,0,",,0,0700",0,",,0,",0,"T,,0,",52,",,0",28,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",30/01/2006,0.12,",,0,0700",0,",,0,",0,",,0,",46,",,0",32,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",31/01/2006,0.08,",,0,0700",0,",,0,",0,",,0,",52,",,0",35,",,0",,
